address,date,stackAmt
0xce460b2aafcce7e1722439c54c2ce7effacb0d82,Mon Sep 20 2021 19:51:47 GMT-0700 (Pacific Daylight Time),18595.81674365576
0x85905b40a61fdbadbb4372bb3ef4e9da60ebc98d,Mon Sep 27 2021 04:55:38 GMT-0700 (Pacific Daylight Time),151558.46673448148
0xf2327b04521589f505c7074c163805843a4bd6cd,Wed Sep 22 2021 06:00:14 GMT-0700 (Pacific Daylight Time),16812.965739324827
0xa5aed6dbf3ad1311a5c95610c7d9e9b1a40ec7f2,Mon Sep 27 2021 17:58:05 GMT-0700 (Pacific Daylight Time),115623.48560912367
0xc6e42dc67758e9151937574ba513a988dd4ccd1,Thu Sep 23 2021 19:18:36 GMT-0700 (Pacific Daylight Time),103661.75048902842
0x96d63a88a95bd3270590d95a36a33cb85173f94a,Mon Sep 20 2021 19:57:38 GMT-0700 (Pacific Daylight Time),4059.8916666666505
0x67808baf60456f41ada9d9aa9840c88ff325d8ae,Mon Sep 20 2021 20:03:36 GMT-0700 (Pacific Daylight Time),0.14400482177734375
0xfe13dd552833fb3498d0645274d847e06a5ab086,Thu Sep 23 2021 06:44:49 GMT-0700 (Pacific Daylight Time),50113.0249999998
0x16e95f6bf27f0b16b19ad7d07635e69c49897272,Mon Sep 27 2021 17:40:55 GMT-0700 (Pacific Daylight Time),103524.90024055386
0x2f1fbfd195854f6d0bc45d1e420c2d46549eb624,Mon Sep 20 2021 20:12:01 GMT-0700 (Pacific Daylight Time),4185.501421483202
0xfa13a3c6cf759e00f726991eb6dfe4e5e3a09d6f,Thu Sep 23 2021 12:32:54 GMT-0700 (Pacific Daylight Time),1831.5412499999925
0x7e98d97e0703a79299b65cb57a992a77a5079678,Fri Sep 24 2021 00:38:07 GMT-0700 (Pacific Daylight Time),21275.695276896156
0x55b451320a34ce88fc8f1a1d9156e2aeb8aad6cb,Mon Sep 20 2021 20:18:44 GMT-0700 (Pacific Daylight Time),1948.9083333333256
0x574c30f968dc3dce3f1ec5d842b9e81ff5905000,Wed Sep 22 2021 16:37:03 GMT-0700 (Pacific Daylight Time),159734.75045873577
0xe8b8fd186c026eda9e48f5f19732dd2f86d568d9,Mon Sep 20 2021 20:19:17 GMT-0700 (Pacific Daylight Time),18832.5
0x41e1fe38d7de3a10ed9291c44435ae29fb0d2a8,Sun Sep 26 2021 17:00:38 GMT-0700 (Pacific Daylight Time),21298.5
0xe9f22205f0996f2681a88e248b0851786fab5dda,Mon Sep 20 2021 20:22:09 GMT-0700 (Pacific Daylight Time),0.00476837158203125
0x8a14b7523cc6a17cc88043422cdc31cafc698735,Mon Sep 20 2021 20:24:33 GMT-0700 (Pacific Daylight Time),10577.833333333334
0xa153dcfe203509cf292634ac3bcaf5ca1d4cc517,Mon Sep 20 2021 20:25:01 GMT-0700 (Pacific Daylight Time),74.91624999999969
0x72512ed8f521d2a041d74fc3b064f3ad71bb17d1,Mon Sep 20 2021 20:26:23 GMT-0700 (Pacific Daylight Time),361.4258333333319
0xe76091f84ddf27f9e773ca8bd2090830943f615c,Tue Sep 21 2021 21:33:28 GMT-0700 (Pacific Daylight Time),15799.02252604163
0x8072566fcdbe9e1827c57a8091085a3095bd4cf0,Mon Sep 20 2021 20:31:52 GMT-0700 (Pacific Daylight Time),8049.274999999968
0x75e1bec21ad7c4e94cc4512d876e52f0b7293820,Mon Sep 27 2021 21:40:33 GMT-0700 (Pacific Daylight Time),65193.75798788635
0x10c6b59014c9bb38ce1da0282e83fef7c569a6e8,Mon Sep 20 2021 20:36:50 GMT-0700 (Pacific Daylight Time),0.00095367431640625
0x9257be26753ad5bf01a4faa396948aca5e39d6db,Mon Sep 20 2021 20:38:25 GMT-0700 (Pacific Daylight Time),3731.441666666652
0x2a1ca52f11a7f0aa923a6739d49c69004c7246e1,Fri Sep 24 2021 17:23:12 GMT-0700 (Pacific Daylight Time),150910.16666666284
0x7a0e0d1d041e8afa497ba9219016588e1da1ac33,Mon Sep 27 2021 19:37:38 GMT-0700 (Pacific Daylight Time),8830
0x5ba17875ea5f3baa8e9a06aaf973ba7c21994c40,Sun Sep 26 2021 14:15:04 GMT-0700 (Pacific Daylight Time),23041.708333333307
