category, median tokens, median usd,  median wei, median transactions, average tokens, average usd, average wei, average transactions, standard deviation tokens, standard deviation usd, standard deviation wei, standard deviation transactions
under15k,8.55660288492836,31088.801402475598,8556602884928360000,1.5,8.55660288492836,31088.801402475598,8556602884928360000,1.5,4.140480448404922,14885.559755857554,4140480448404923000,0.5,
between15kand50k,0.04768371582031249,172.6560592651367,36321640014648440,1,0.32303969202378213,1069.9092786839283,225000476337507680,1.1862745098039216,0.8571736947882346,2353.324676346417,526796299359507500,0.518867396956833,
between50kand150k,24.464687499999528,88583.20838124829,24464687499999527000,1,24.464687499999528,88583.20838124829,24464687499999527000,1,3.6261458333336947,13129.766402084642,3626145833333694500,0,
over150k,20044.116666666505,60027145.30312601,1.4443270342030347e+22,1,53339.760765350184,148291843.49993035,2.8569339277746863e+22,1.8037190082644627,84881.74693892083,240514453.2571185,5.681926509897032e+22,1.2182779013880987,
