category, median tokens, median usd,  median wei, median transactions, average tokens, average usd, average wei, average transactions, standard deviation tokens, standard deviation usd, standard deviation wei, standard deviation transactions
under15k,4.4161224365234375,15539.111276271056,4416122436523437600,1,NaN,NaN,NaN,1.3333333333333333,NaN,NaN,NaN,0.4714045207910317,
between15kand50k,0.04768371582031249,165.5793190002441,36321640014648440,1,0.32303969202378213,1026.0563719022568,225000476337507680,1.1862745098039216,0.8571736947882346,2256.8677806872165,526796299359507500,0.518867396956833,
between50kand150k,24.464687499999528,84952.40410937335,24464687499999527000,1,24.464687499999528,84952.40410937335,24464687499999527000,1,3.6261458333336947,12591.610098959587,3626145833333694500,0,
over150k,20044.116666666505,57566782.67258052,1.4443270342030347e+22,1,53339.760765350184,142213731.5337607,2.8569339277746863e+22,1.8037190082644627,84881.74693892083,230656367.05442384,5.681926509897032e+22,1.2182779013880987,
